Variable,Univarable,Lasso,RandomForest,GradientBoost,SVM,Sum
Longitude,1,0,1,0,1,3
Latitude,0,0,1,0,1,2
Month,1,0,0,0,0,1
Season_code_1,1,0,0,0,0,1
Season_code_2,0,0,0,0,0,0
Season_code_3,0,0,0,0,0,0
CULEX_ERRATICUS,0,0,0,0,0,0
CULEX_PIPIENS,1,1,1,0,1,4
CULEX_PIPIENS_RESTUANS,1,1,1,0,1,4
CULEX_RESTUANS,1,0,1,0,0,2
CULEX_SALINARIUS,0,0,0,0,0,0
CULEX_TARSALIS,0,0,0,0,0,0
CULEX_TERRITANS,1,0,0,0,0,1
ParasiticIn.,1,0,0,0,0,1
Influenza.,1,0,0,0,0,1
WnvPresentB,0,1,1,1,1,4
Tmax2,1,0,0,0,0,1
Tmin2,1,1,0,0,0,2
Tavg2,1,0,0,0,0,1
WetBulb2,1,0,0,0,0,1
Heat2,1,0,0,0,0,1
PrecipTotal2,0,0,0,0,0,0
StnPressure2,0,0,0,0,1,1
ResultDir2,0,0,0,0,0,0
AvgSpeed2,1,0,0,0,0,1
DZ2,0,0,0,0,0,0
FG2,1,0,0,0,0,1
HZ2,0,0,0,0,0,0
RA2,0,0,0,0,0,0
RA45.2,1,0,0,0,0,1
BR2,1,0,0,0,0,1
TS2,1,0,0,0,0,1
TSRA2,1,0,0,0,0,1
VCTS2,0,0,0,0,0,0
Tmax,1,0,0,0,0,1
Tmin,1,0,0,0,0,1
Tavg,1,0,0,0,1,2
Depart,1,1,0,0,0,2
DewPoint,1,1,0,0,0,2
Heat,1,0,0,0,1,2
Cool,1,0,0,0,0,1
Sunrise,1,1,0,0,1,3
Sunset,1,1,1,0,1,4
PrecipTotal,1,0,0,0,0,1
ResultSpeed,1,0,0,0,0,1
ResultDir,0,0,0,0,0,0
AvgSpeed,1,0,0,0,0,1
BR,0,0,0,0,0,0
DZ,0,0,0,0,0,0
FG,0,0,0,0,0,0
HZ,1,0,0,0,0,1
RA,1,0,0,0,0,1
RA45,1,0,0,0,0,1
TS,1,0,0,0,0,1
TSRA,1,0,0,0,0,1
VCTS,0,0,0,0,0,0
pre45_1_2,1,0,0,0,0,1
pre45_1,1,0,0,0,0,1
pre45_05,0,0,0,0,0,0
pre45_052,0,0,0,0,0,0
TrapClusterNum,0,0,1,0,0,1
